微博内容,发布者名称,发布时间及设备,发布者主页
男人常换_姐妹不散现在是凌晨01:42是的我又熬夜了我可爱惜生命了我不常熬夜的今天熬夜是因为我pythonpandas库学的实在是太烂了这么一个简单的需求我整了不知道几个小时彻底跟他杠上了不弄好不睡觉头上都在冒烟了却不知道怎么滴突然成功了就不理解啊我计算机语言真是让人又爱又恨​展开c,让你们找不到我555,04月01日01:47 来自男人常换_姐妹不散超话,https://weibo.com/6753255111?refer_flag=1001030103_
要做的事情1.实验报告2.优秀团员与志愿先进服务个人名额确定3.十佳团支部申报4.刑法（—犯罪客观条件）5.Python（听到第六周）7.高数解析几何和求导今天和王老师聊了好久的天是真的不喜欢了他真的是一个很好很好的人，他的故事好多希望生活对他好一点好一点好一点​,旅途与猫i,04月01日01:45 来自HUAWEIMate40,https://weibo.com/5439476556?refer_flag=1001030103_
四月第一四月才开始一个小时，感觉像跟我开了场玩笑意识到电脑现在的拉垮程度了买电脑时完全没想到我会学python、C、CAD、SW等等，雪上加霜还被电脑城老板坑了一把电脑越来越不得劲了暑假得换个新电脑了原本计划的平板也无果了算了，跟平板没缘了我上个大学好费钱啊，本​展开c,不断在改变的雨滴,04月01日01:41 来自iPhone客户端,https://weibo.com/5039250217?refer_flag=1001030103_
很困睡不着怎么办能不能把早八的Python取消一下​,为什么发语音,04月01日01:40 来自荣耀20,https://weibo.com/7250836921?refer_flag=1001030103_
我尊的会谢谢Python​,肥肥鱼友,04月01日01:36 来自iPhone客户端,https://weibo.com/5336489913?refer_flag=1001030103_
最近几天写了Rust，Go，Java，Python，Shell实验室和实习同时开搞，准备看的书只看了一两章就没时间看了​,乐观的人丶,04月01日01:24 来自iPhone客户端,https://weibo.com/5536377553?refer_flag=1001030103_
毕业设计蹲一个通信工程的指导用python有偿​,吹灯听雨,04月01日01:21 来自毕业设计超话,https://weibo.com/7047650478?refer_flag=1001030103_
//@RevengeRangers:回复@宝儿的伢伢:不存在，我就是瞎B写的//@宝儿的伢伢:那到底是存在还是不存在，已经有cve编号了//@RevengeRangers:没问题，不是python，不会出现缩进和换行的错误//@小金刚Kk:最后几行缩进有问题呢,b1uemo0n,04月01日01:18 来自Android,https://weibo.com/5633602319?refer_flag=1001030103_
想做的事情很多但是从来没有去做小小的立个flag如果我好好的活着的话接下来的一个月……没有课的上午时间，背英语单词！！！不看手机视频！不听歌的背！……没有课的下午时间（包括周六）菌物/病理+python……下午下课之后，跑创高！！（创高结束以后也可以跑！），有值班就去值班，没有值​展开c,killingNow-ksun,04月01日00:59 来自荣耀30S5G美由芯生,https://weibo.com/5863078763?refer_flag=1001030103_
我:昨天上午Python睡得我神魂颠倒谢了我室友:今天上午英语课你肯定也会睡得神魂颠倒……薅​,哈哈小邹X小升初版,04月01日00:57,https://weibo.com/6479100262?refer_flag=1001030103_
打卡1/266八点起来上python然后去教室上财务管理九点半然后1.不背单词复习2.新的单词3.语法定语从句搞完4.每日一句5.专业课复习第一单元定好计划6.六级​,die要一直开心,04月01日00:55 来自iPhone客户端,https://weibo.com/6614151148?refer_flag=1001030103_
我建议以后别分专业了...用matl的叫matl数据处理专业用python的叫python数据处理专业idl作图的叫idl专业毕竟不需要理论（可以补）但需要写代码​,养乐多在想什么,04月01日00:51 来自微博HTML5版,https://weibo.com/6574514336?refer_flag=1001030103_
用Python制作OCR图片文字识别工具，持续更新！后附案例源代码！O网页链接​,becauseofyou宝宝,04月01日00:51 来自分享按钮,https://weibo.com/2825005542?refer_flag=1001030103_
其实cas老版还更好用一点，这是不支持Python3.2以上版本罢了​,你喜欢吃水煮三文鱼么,04月01日00:50 来自三星GalaxyA515G,https://weibo.com/7514560297?refer_flag=1001030103_
「项目实战」Python如何为一个gooey创建的应用程序添加进度条？O网页链接​,becauseofyou宝宝,04月01日00:49 来自分享按钮,https://weibo.com/2825005542?refer_flag=1001030103_
#657宿舍的大四日常#❤️第159天💕周四，北京晴，宿舍真的超级超级冷！💕今天也是被毕设逼疯的一天婉婉和阳阳下午去了图书馆不过要批评婉婉子在图书馆下了一下午Python且一直看搞笑视频的行为！彤彤留守宿舍，不过接到了巨大噩耗：4.4晚上交初稿阿沈报复性出校玩耍：一天​展开c,波博薄波,04月01日00:41 来自荣耀30Pro5G,https://weibo.com/5657087835?refer_flag=1001030103_
python大晚上的学上头了呀虽然但是还是有题编不出来​,子墨Nicholas,04月01日00:37 来自iPhone12Pro,https://weibo.com/7678366888?refer_flag=1001030103_
3月：因为疫情整月只出门了一天，导致基本每天都可以学3个半小时左右，好想出去玩。【总结】从python转到了Java，学了2/3操作系统，每天一两道二刷的力扣保持手感。4月准备学习多线程和网络编程的进阶，继续力扣，学完操作系统，复习计网。​​​,嗑瓜子的街坊,04月01日00:35 来自荣耀305G,https://weibo.com/6080416032?refer_flag=1001030103_
愚人节之不愚人碎碎念四月希望毕设论文顺顺利利或许第三次学python可以顺利推进？不强求了​,一个撞南墙的人,04月01日00:32 来自iPhone13,https://weibo.com/2354398732?refer_flag=1001030103_
Python中的八个“无代码”特性详情==>OPython中的八个“无代码”特性​,程师视野,04月01日00:32 来自编程客网,https://weibo.com/3132664607?refer_flag=1001030103_
在🐧上发了一条动态说遇到了比Python更难写的东西同班有一个好可爱的同学想“到底是啥”想到睡不着哈哈哈刚才有蚊子咬我2湘潭​,我是Bear_Bear是我,04月01日00:30 来自Android,https://weibo.com/5978643779?refer_flag=1001030103_
每次写python作业的时候都会觉得世界上最蠢的人也不过如此了。​,过电气波,04月01日00:25 来自iPhone客户端,https://weibo.com/5292426040?refer_flag=1001030103_
“立下四月的第一个flag”今天要把Python自学完成还要把这周的作业做好加油！我可以的！​,桐桐是只喵,04月01日00:25,https://weibo.com/6055375217?refer_flag=1001030103_
【万兴科技2022届春招内推来袭】 万兴科技（300624.SZ）成立于2003年，并于2018年登陆A股创业板，是中国政府认定的“国家规划布局内重点软件企业”，连续跻身“德勤高科技高成长亚太区500强”、“福布斯中国最具发展潜力企业”等荣誉榜。公司建立了完备的人才培养与发展机制，并致力于为员工提供业界​展开c,叁佰88,04月01日00:21 来自小米11Pro,https://weibo.com/7544919430?refer_flag=1001030103_
天呐这个cs这个python真的愁死我了​,lostinChloeZeng,04月01日00:20 来自iPhone客户端,https://weibo.com/7693005274?refer_flag=1001030103_
是真的会爱今天上完Python急匆匆地进会议室听tax的第一节课没过十分钟就鼻头一酸毫不夸张整场课听下来感动想哭有生之年还能听到这样的课我能多活十年啊你懂吗太疯狂了有人会让我共鸣成这样子,开心百分百捏,04月01日00:19 来自iPhone,https://weibo.com/5189991492?refer_flag=1001030103_
四月到了正好记一下这个月一定要做到的事：1.学习Python或Html中的一个2.提升英语nonfiction写作水平3.开始帮新学生构思申请3.两本+学术书，之前囤的小说最好清完4.多和不一样的人约会，男男女女老老少少都出去玩5.录一期大众占卜试试看6.每天一点前睡觉​,Real不甜,04月01日00:19 来自iPhone,https://weibo.com/1765275625?refer_flag=1001030103_
人生苦短我用python🙃​,起不了的茨盖比,04月01日00:18 来自小米手机,https://weibo.com/6304098348?refer_flag=1001030103_
在亚凝的耐心指导下python初体验成功🎉​,华尔街萨摩椰,04月01日00:16 来自iPhone客户端,https://weibo.com/7681415234?refer_flag=1001030103_
人生苦短，都用python吧2北京L温柔都留给爱我的人的微博视频​,温柔都留给爱我的人,04月01日00:11 来自iPhone客户端,https://weibo.com/5231688297?refer_flag=1001030103_
远离Python和胡晓敏好吗？​,WiKim77,04月01日00:09 来自真我X7Pro5G,https://weibo.com/5983374454?refer_flag=1001030103_
『比正则快M倍以上！Python替换字符串的新姿势』O网页链接​,lsswear,04月01日00:07 来自HUAWEIMate305G,https://weibo.com/2397103671?refer_flag=1001030103_
为自己经常深夜学Python或者office技巧不想睡觉而感动​,兔小妞要好好加油,04月01日00:05 来自小米10至尊纪念版,https://weibo.com/1897713094?refer_flag=1001030103_
Python好的，今天想写点东西，因为搞不到数据快烦死了，真生气了。今天我就要正告这些该死的数据，今日之我任它欺辱，明日之我将不再是我，是刘·钮祜禄·胖。今日我刘·钮祜禄·胖，在此起誓，明天上岸之时，就是我学会这该死的Python之时。​,胖刘要更加努力,04月01日00:03 来自Python超话,https://weibo.com/7286662962?refer_flag=1001030103_
在MATLAB、R、Python与Julia几种里，相对而言，我最喜欢的还是MATLAB，因为写代码的时候真的会有一种在矩阵上做运算的感觉，就像在纸上做一些代数上的变换与计算。目前，普遍地把线性代数的重要性放在微积分之后，这是不对的，至少二者有同等重要性。部分原因是我们在处理离散对象时，线性代数的各种工​展开c,运筹士,03月31日23:57 来自Android,https://weibo.com/1872879267?refer_flag=1001030103_
学完C++，再学习Python​,IT数码排行,03月31日23:57 来自即刻笔记,https://weibo.com/1762216265?refer_flag=1001030103_
汇报今天虽然有努力在B站学Python的GUI，但是下午做实验好像没用到，百度就完了，目前进度一点点，但是也还行JAVA这边有学到一点和C不一样的东西，还不错，要是不用看那个没用的计入成绩慕课就更好了明天上午没课打算9点半左右起床，JAVA。晚上有公选课，但是尽可能JAVA，争取结束类，周六做实验​展开c,腊八粥大师,03月31日23:54 来自HUAWEIP40Pro5G,https://weibo.com/6558645174?refer_flag=1001030103_
中午吃了小鱼嘿嘿（公主番茄鱼）晚上煮面我煎了一个溏心蛋！！！我也太优秀了吧下午高数课睡得很踏实晚上在图书馆却学不下去这高数它不入脑啊我恨Python肿么老是戳啊小宝贝太可爱了哈哈哈哈还把衣服画成这样还画到脸了妈见打系列所有期待的活动都只有一个结果无限延期​展开c,怡yi甜度百分百,03月31日23:53 来自OPPOReno65G,https://weibo.com/6613452568?refer_flag=1001030103_
昨天心情仍有些烦躁，当尔轩建议去茶馆的时候，其实我早已做了决定。于是下午一下课就带上尔轩出了门，两个人在茶馆里喝茶吃茶点还学习了一会儿。晚上尔轩跳完绳，睡觉前给他一些时间看着我帮他买的书自学python，所以比平时睡得晚了一些。今天感觉状态好了不少，上午把阳台上的花草好好打理一番，冲​展开c,尔轩妈咪,03月31日23:49 来自HUAWEIMate20Pro,https://weibo.com/2630796065?refer_flag=1001030103_
#大聪明刘刘学python日记#补卡Day4⃣️6⃣️7⃣️8⃣️➕今天9⃣️我恨dell电脑！别再坏了求求您。害晚上和朋友打了50多分钟电话不然就早点弄完看心居了只能现在看更新的两集了​,吸水干发帽,03月31日23:43 来自iPhone客户端,https://weibo.com/6688736385?refer_flag=1001030103_
晴天心理学考研#晴天心理学考研##23晴天347-2班#@晴天学姐冲呀HD14本月复盘📌一轮:实验，统计📌二轮:普心(优题完，进阶课未完）📌单词量达标4100📌翻译每日一句31📌阅读英二12-19年📌Python入门课​,莫名其妙的桃儿,03月31日23:41 来自晴天心理学考研超话,https://weibo.com/3888891015?refer_flag=1001030103_
花三天搞了一个python包，本来准备放弃的因为试过很多次很多次，准备交任务的时候直接摸鱼，在最后一天晚上想想算了再搞一下没想到成了！！！(狗头保护)励志的话……………………(省略很多字)​,小俊有点强202007,03月31日23:40 来自RedmiK30Pro变焦版,https://weibo.com/7480247940?refer_flag=1001030103_
让我顺顺利利的吧数据思维能抢到分线性代数能学明白高数和python能补完能见到我担球球了,和小严私奔日落,03月31日23:34 来自iPhone客户端,https://weibo.com/6599075267?refer_flag=1001030103_
『比正则快M倍以上！Python替换字符串的新姿势』O网页链接​,117少冰三分糖,03月31日23:34 来自iPhone客户端,https://weibo.com/1820496754?refer_flag=1001030103_
因为疫情反复心情好差因为把3月份的任务不得不留到4月份心情好差因为周六要上课心情好差因为python不会做心情好差因为明天要上早八心情好差但是还有很多美好的东西从大家的微博看到了2a的牛肉水饺看起来很好吃tx的语文课听起来很不错宿舍楼下花开了还没来得及去看做完核酸的晚霞很漂亮但是从​展开c,-3顶洞人,03月31日23:34 来自iPhone客户端,https://weibo.com/6115374256?refer_flag=1001030103_
20210331差点就忘记了今天没有去练车有好好学习打卡Python第六天真的真的很生气从上海来的人能不能管好你们自己啊特么的搞得全海口都有疫情本来小岛好好的现在乌烟瘴气今天看到好多地方都封了真的真的会谢​,苒苒爱崽崽,03月31日23:34 来自nova7Pro你在焦点在,https://weibo.com/7515434254?refer_flag=1001030103_
快考试+担心python+喝全糖的瑞幸=满脸爆痘（鼻子上还长了一颗）我恨​,帝京尘1225,03月31日23:32 来自iPhone客户端,https://weibo.com/6303290274?refer_flag=1001030103_
想当狗想被养过上无高数无python无论文的生活​,撒娇骂街的小乖,03月31日23:29 来自iPhone客户端,https://weibo.com/6886085128?refer_flag=1001030103_
狗python你怎么比c语言还难​,今天吃芒果蛋挞了吗,03月31日23:28 来自🌈🥰iPad(金色),https://weibo.com/6527187697?refer_flag=1001030103_
2022年3月你一共看了32篇论文，推导了其中5篇，写了两本草稿。这个月你最常使用python和Mathematica，你一共写了约3000行代码，其中有一次使用的算法计算量过大把电脑算关机了，后来换了另一种算法优化了计算过程解决了这个问题。你的平均下班时间是22:36，有8次在下班前想到了解决问题的新思路​展开c,普朗克常量与光速o3o,03月31日23:28 来自刘雨昕的雨伞,https://weibo.com/5936872509?refer_flag=1001030103_
1/每到这个点都想把时间对半分开可以有两倍时间可以用这个时候才开始补作业2/为什么把Python实验安排到晚上下午不好吗周五晚上又不自由了3/周四下午明明是全校公休时间但好像从来没体验过这种快乐🙉中午做核酸排了一个多小时下午的物理实验还是线上今晚的英语补课​展开c,噜啦啦液-whoope,03月31日23:28 来自荣耀505G,https://weibo.com/6496289722?refer_flag=1001030103_
认识一周年的小小惊喜PythonYyds，计算机视觉的一个库做的。图片都被压缩了，所以看不太出来，其实刚做出来一张图一个G放大出来是图4密恐犯了​,夏野_123,03月31日23:21 来自iPhone客户端,https://weibo.com/3541642874?refer_flag=1001030103_
python作业做到脑溢血了​,-慕笙-,03月31日23:21 来自微博国际版,https://weibo.com/3181032120?refer_flag=1001030103_
明天面试要完蛋了后天笔试还要搞Python，我一无所知呀​,cc的神秘小屋,03月31日23:18 来自荣耀V204800万3D相机,https://weibo.com/6983879219?refer_flag=1001030103_
谢谢这辈子应该不会再见到python了,Ltehp-,03月31日23:18 来自iPhone客户端,https://weibo.com/3566662113?refer_flag=1001030103_
"学习python记录将当前时间转为正常时间的方法'''获取当前时间的函数及转换为正常显示的方法'''importtimeprint(time.time())#显示当前时间，为秒显示print(time.localtime(time.time()))#显示当前时间全部信息#显示当前时间的正常时间print(time.strftime('%Y-%m-%d%H:%M:%S',​展开c",风形月影回归,03月31日23:16 来自新版微博weibo.com,https://weibo.com/1495042997?refer_flag=1001030103_
我为什么要学python​,今天李学习了吗_,03月31日23:12 来自iPhone11ProMax,https://weibo.com/5419197400?refer_flag=1001030103_
abaqus计算出错avizo分割也不会做Python脚本也还没学会明天要汇报进度一整个摆烂​,姜玄莫,03月31日23:12 来自微博国际版,https://weibo.com/6447600421?refer_flag=1001030103_
充实的一天又结束了！学习了spss数据分析和阅读整理文献方法，接下来还想研究下Python据说功能很强大。疫情隔离在家不荒废每一天，高质量阅读文献，为选题做准备​,嘚不嘚祎,03月31日23:12 来自iPhone客户端,https://weibo.com/1773416900?refer_flag=1001030103_
终于抓住了三月的尾巴，完成了毕业设计App的开发，终于可以喘口气了，将近三个月的开发，收获还挺多的，改了无数个bug，尤其OpenCV相机预览横屏和适配手机支持分辨率上困了好多天，后来改源码成功了。制作中间发现了宝藏开发工具chaquopy，让android中调用python太方便了，完美配合我处理信号，​展开c,墨雨先森Leo,03月31日23:11 来自iPhone客户端,https://weibo.com/5873682449?refer_flag=1001030103_
关于四月的计划数学：基础部分课程完成每日一题持续英语：中高低频词背2-3遍每周一套六级题长难句语法课程计算机python学习​,伟的小卷毛,03月31日23:10 来自微博国际版,https://weibo.com/7601595545?refer_flag=1001030103_
☞许一个四月愿望📖毕设定稿搞起来！💪🏻减肥早睡早起三餐规律！✍🏻爬虫为了以后不再经历找数据痛苦...👄皮肤护理粉刺毛孔达咩！🐳学会游泳别狗刨了！😑秃头Python秃头......诶好像不止一个愿望​,kamisama哇达西,03月31日23:10 来自真我GT大师探索版,https://weibo.com/5370372575?refer_flag=1001030103_
经典回顾我的19年python作业​,Yasbtfovo,03月31日23:08 来自小米手机,https://weibo.com/6599517808?refer_flag=1001030103_
哈哈哈哈一个寝室四个人有人在学太极有人在练排球动作有人在写python有人在唱歌这个画面能想象吗哈哈哈哈哈哈​,85号非著名未成年,03月31日23:07 来自Note10Pro,https://weibo.com/7654504007?refer_flag=1001030103_
三分钟热度人看中了法大的国际法南大的西语北大的Python以及上外的英语演讲​,xxiysy,03月31日23:05 来自iPhone客户端,https://weibo.com/5711125648?refer_flag=1001030103_
明日目标，词汇训练，听力1课后作业，听力2，听力3，python试卷。​,裘醫吖,03月31日23:04 来自华为手机,https://weibo.com/7591751650?refer_flag=1001030103_
不想上班的第一百六十六天上午，上班时发现年终奖到账了，入职半年有1.5个月工资作年终奖，还行。下午，做完volumetest用python写了个脚本去读取结果数据，发现数据产生了笛卡尔积，还好没贸贸然交上去，不然得给批死…下班时，在电梯里我在她后面，感觉心脏都不敢跳动，也没敢打招呼，真是怂蛋…​,JohorChang,03月31日23:03 来自iPhone客户端,https://weibo.com/3209047743?refer_flag=1001030103_
HowtoscrapepagesbehindloginwithPythonO网页链接​,3A狗狗,03月31日23:02 来自微博weibo.com,https://weibo.com/2475016390?refer_flag=1001030103_
已经开始摆烂寝室关系了想背点周六英语pre在默读一位自以为唱歌好听的室友一边做python一边骂python一边唱着她那优美的歌哈哈书不想背了直接开始公放小红书​,碎嘴炸毛兔,03月31日22:59 来自HUAWEIMate20,https://weibo.com/7538310726?refer_flag=1001030103_
万维网你告诉我！我python到底哪儿里写错了能不能告诉我啊我快疯了我真的不知道哪儿里错了​,是马piu亮的微博呀,03月31日22:56 来自小米10S,https://weibo.com/6345383700?refer_flag=1001030103_
#尚学堂python全栈课程#编程程序员编程L老吴与编程的微博视频​,老吴与编程,03月31日22:54 来自编程超话,https://weibo.com/6749451576?refer_flag=1001030103_
我的快乐源泉来个python专家辅导我行吗大一学生真的学不会啊​,静脉今天成真了吗,03月31日22:54 来自我的快乐源泉超话,https://weibo.com/6021383721?refer_flag=1001030103_
Python呜呜求求为什么会是这个运行结果啊要怎么判断游戏与否啊​,静脉今天成真了吗,03月31日22:52 来自Python超话,https://weibo.com/6021383721?refer_flag=1001030103_
🆘哈哈哈哈哈哈哈哈哈哈哈要被室友笑死了她们，她说别人磕cp我们磕py=Python哈哈哈哈哈哈哈哈哈哈哈哈，可能是要被明天的小测逼疯了​,Oh璟蓝,03月31日22:51,https://weibo.com/6541836340?refer_flag=1001030103_
8好意思你让我写不出来我天生反骨就偏要写出来本来答疑课通常都是在周四晚上偏偏今晚没有就那一两道题我一个学会计的今晚花了两个多小时在这儿研究python，又是翻PPT又是翻笔记的寻找蛛丝马迹，还问了计算机专业的朋友才终于交完作业了，这老师才发出来答疑课改成周五我真就敲里🐎😅😅​,南风日暮里,03月31日22:50 来自微博国际版,https://weibo.com/5239334688?refer_flag=1001030103_
可恶的python！！我一定会过的！！不可能挂科​,Wyyxn188,03月31日22:50 来自iPhone客户端,https://weibo.com/7008822515?refer_flag=1001030103_
呜呜呜呜非得想自己做一遍尽管是看matlab版本代码然后自己翻译成python还是弄了一晚上真的感觉随时一口血要喷出来满脑子反复都是“我可以的我是聪明蛋”和“我是菜狗我做不出来”​,瓶子里是咖啡,03月31日22:49 来自iPhone,https://weibo.com/2467284502?refer_flag=1001030103_
python你要把老子整神​,Avecmoii,03月31日22:47 来自HarmonyOS设备,https://weibo.com/7152123284?refer_flag=1001030103_
头一次见，犀牛导入su还可以利用Python使模型完整，不被打乱O网页链接#模型##建模##rhinoceros##草图大师#​,云深处的少年89736,03月31日22:47 来自nova7SE5G活力版,https://weibo.com/6622153394?refer_flag=1001030103_
#风变编程##春日习惯养成#怎样根据需要筛选数据并整合，怎样对多个表中存在同一个键的数据进行汇总并保存，怎样熟练使用字典的功能，类似EXCEL中vlookup和powerquery常用功能的使用，是Python处理EXCEL需要灵活运用的！#风变编程#​,懿爱钟之兽瘦的窝与哇,03月31日22:42 来自OPPOR15梦镜版,https://weibo.com/2403935727?refer_flag=1001030103_
苦逼代码人#python#​,快快的夏天23333,03月31日22:38 来自vivoZ5x性能实力派,https://weibo.com/7215282078?refer_flag=1001030103_
咱就是说python下课后赶紧学谁能想到连上三节啊​,永远选择快乐的阿天吖,03月31日22:35 来自iPhone,https://weibo.com/6973099698?refer_flag=1001030103_
每日一问：到底是谁发明了python​,Urnymph,03月31日22:33 来自iPhone12,https://weibo.com/5234945634?refer_flag=1001030103_
编程技术一直在迭代更新，需要一直不断学习。网课太贵，但是你遇到了我，一切变得美好！随机资料展示：《【KK吧】人工智能核心能力培养计划-自然语言处理nlp方向》《【NM班】Python自动化37期》《更新机器学习高级魔鬼训练营-凸优化方向新超推荐大佬首推》《【MS教育】Python全栈自​展开c,IT编程资料馆_看置顶找我,03月31日22:30 来自微博weibo.com,https://weibo.com/6419522392?refer_flag=1001030103_
真是服了计算机科班出身的大学霸课程资源一大堆，装环境也快离谱的是我不理解为什么有的人四年本科就啥语言都会，我七年本硕java都写不好，python还需要百度我一点也不羡慕gdp我决定换个语言弯道超车他​,本仙女倾国倾城,03月31日22:26 来自iPhone客户端,https://weibo.com/1988161741?refer_flag=1001030103_
今天是教学楼小花园流放的一天，一下午+一晚上python课真的会哭但是食堂盒饭越来越好吃啦！叔叔阿姨辛苦了#三月再见#四月我们一定好起来的！#上海疫情#​,二八霜见玺,03月31日22:26 来自荣耀20PRO,https://weibo.com/6134276441?refer_flag=1001030103_
没有人告诉我mpacc还要学Python😅​,华北雷妮,03月31日22:25 来自微博国际版,https://weibo.com/7247799490?refer_flag=1001030103_
谢谢你，Python之神一道题做了几时分钟我真的会谢​,Liiiiiii_www,03月31日22:24 来自HUAWEIP405G,https://weibo.com/5659421508?refer_flag=1001030103_
Python最好看最优雅的编程语言到处都透露着艺术感​,KarlMarx美学,03月31日22:22 来自RedmiK30Pro真旗舰,https://weibo.com/6083475374?refer_flag=1001030103_
好烦已经头痛的要死掉心情也差的要死想上床睡觉python作业又没做完今晚又要提交好烦好烦​,我很困困了o0,03月31日22:21 来自iPhone13ProMax,https://weibo.com/5863898061?refer_flag=1001030103_
会python好爽啊好爽啊好爽啊我真无语啦！​,小狗不呼噜,03月31日22:20 来自iPhone客户端,https://weibo.com/7355501242?refer_flag=1001030103_
计算机二级小黑老师课程、题库，office安装包、Excel专题、PPT专题、Word和真题专题都有，Python和C语言课程也有，需要滴我🈚️尝!​!​​​​,爱你在日落前-,03月31日22:18 来自计算机二级超话,https://weibo.com/7417046007?refer_flag=1001030103_
我爱python​,wssyjymyt,03月31日22:15 来自iPhone客户端,https://weibo.com/5349345788?refer_flag=1001030103_
我的第一个Python程序下线啦​,莽原野马,03月31日22:15 来自360安全浏览器,https://weibo.com/2213949781?refer_flag=1001030103_
有没有会python的带佬，萌新刚刚开始自学有一道题看一小时了还没做出来能不能指点一下​,天才证券分析师,03月31日22:12 来自iPhone客户端,https://weibo.com/6303604629?refer_flag=1001030103_
我当年为什么要选C++📣为什么要选C++📣为什么要选C++📣为什么要选C++📣为什么要选C++📣为什么不选python📣为什么不选python📣为什么不选python📣为什么不选python📣为什么不选python📣悔恨​,吃关东煮吗,03月31日22:10 来自iPhone客户端,https://weibo.com/6340599278?refer_flag=1001030103_
真的会谢python完全靠自学有没有大佬指点一下🤗2崇左·广西城市职业学院(崇左校区)​,难拥449,03月31日22:08 来自iPhone客户端,https://weibo.com/5659406576?refer_flag=1001030103_
关于我python网课看了三分钟光遇打了三小时那些事儿​,阿某想长高,03月31日22:07 来自微博极速版,https://weibo.com/5459655342?refer_flag=1001030103_
Python3-入门-9.8分-每天进步一点点O网页链接​,hello赵哥,03月31日22:02 来自虎课,https://weibo.com/6660741037?refer_flag=1001030103_
财务人都需要学python了，我想躺平。​,Crasiuer_,03月31日22:02 来自HarmonyOS设备,https://weibo.com/5205693570?refer_flag=1001030103_
说实话，做python其实挺有成就感的。以前很多看起来不太能完成的难题一点点被拆开，解决，可能满足感来的不是那么快，但突然回头一看，自己已经做了那么多了。今天写了一个程序，可以交互的那种，闲着无聊我就在乱点，看着它一个个弹出结果我有种自家孩子长大了的感觉。​,葵酱拌饭酱,03月31日22:01 来自iPhone11,https://weibo.com/1047972673?refer_flag=1001030103_
//@RevengeRangers:回复@宝儿的伢伢:不存在，我就是瞎B写的//@宝儿的伢伢:那到底是存在还是不存在，已经有cve编号了//@RevengeRangers:没问题，不是python，不会出现缩进和换行的错误//@小金刚Kk:最后几行缩进有问题呢,静水深流1242,03月31日21:59 来自微博国际版,https://weibo.com/1404502457?refer_flag=1001030103_
【python教程】python数据分析学不会？大佬教你最常用的三大模块numpy、pandas、matplotlib学不会你来打我！#哔哩哔哩动画#O【python教程】python数据分析学不会？大佬教你最常用的三大模块numpy、pandas、matplotlib学不会你来打我！​,不学好人工智能不换昵称,03月31日21:55 来自哔哩哔哩,https://weibo.com/3630599883?refer_flag=1001030103_
这python再给我两个晚上我也学不完​,余緈,03月31日21:55 来自HUAWEIP405G,https://weibo.com/7393692695?refer_flag=1001030103_
俺不学Python俺要中了就送给Siri,惠郑芳香盼,03月31日21:54 来自RedmiK30Pro变焦版,https://weibo.com/5457148857?refer_flag=1001030103_
我觉得最可怕的事情就是我无法说服自己学习有意义，我曾经也好爱学习，但是现在就是不行，看书可以，英文小说都可以，不是专注力的问题，但打开cfa课本或者python网课我最多坚持十分钟……就是明知道上学要用，工作要用，可我还是没法去做，又是两个月没学习了，真的好烂​,丧日少女,03月31日21:54 来自iPhone,https://weibo.com/3172433292?refer_flag=1001030103_
今晚我和python只能活一个​,今天會有一點開心嗎,03月31日21:52 来自油炸數分HarmonyOS设备,https://weibo.com/6079381123?refer_flag=1001030103_
学python就是笔记依赖型人格你要我写代码我没了笔记本就像西方没了耶路撒冷（我脑缠我先说​,雪山中,03月31日21:48 来自荣耀8X,https://weibo.com/5216422177?refer_flag=1001030103_
我写python,衔尾蛇坍缩,03月31日21:47 来自iPhone12,https://weibo.com/7544443237?refer_flag=1001030103_
我真的大爱r，相比python一遍遍繁琐解决数据包之间的兼容bug，r一下就直观展现了我要的数据内容，而且绘图也相当好看。​,温若长卿,03月31日21:46 来自新版微博weibo.com,https://weibo.com/6516330815?refer_flag=1001030103_
人至少。。。不应该。。被python折磨。。我的问题。我所有的痛苦都来源于我自己​,张歪歪耶_,03月31日21:43 来自iPhone13,https://weibo.com/5283400691?refer_flag=1001030103_
//@RevengeRangers:没问题，不是python，不会出现缩进和换行的错误//@小金刚Kk:最后几行缩进有问题呢,wishma76,03月31日21:40 来自HUAWEIP40Pro5G,https://weibo.com/2092400147?refer_flag=1001030103_
大头计算机二级#计算机二级#@大头博士先生python​,雀锁喬_,03月31日21:40 来自大头计算机二级超话,https://weibo.com/5866098723?refer_flag=1001030103_
DigitalmodulationusingPython​,AlephZero,03月31日21:38 来自Note10Pro,https://weibo.com/1644738262?refer_flag=1001030103_
博君一肖Python的作业哈哈哈，浅画L油碟麻酱Yoa的微博视频​,油碟麻酱Yoa,03月31日21:31 来自博君一肖超话,https://weibo.com/5601449987?refer_flag=1001030103_
计算机二级计算机二级小黑老师课程，office安装包、Excel专题、PPT专题、Word和真题专题都有，Python和C语言课程也有，需要的滴我🈚️尝!​!​​​​,西瓜味软糖琪,03月31日21:29 来自计算机二级超话,https://weibo.com/5848750340?refer_flag=1001030103_
突然通知周六调休周一的课，本来下周一前交就行，现在我得在周六前写完要求比较不同k值时的分类性能来确定最优值，救救，我都不知道怎么用python来实现，还得写篇论文文科专业从来没写过这种论文啊啊啊啊，真的憋不出来​,鬼鬼家的奶香猪,03月31日21:27 来自HUAWEIP30Pro,https://weibo.com/6740914171?refer_flag=1001030103_
